"Story","Title","Result","Date","Stability","Duration (s)"
"Automatizar pagina de viajes","Comprar de tiquetes","SUCCESS","2023-03-24T11:42:27.3870536-05:00[America/Bogota]","0.0","8.1"
"Login en pagina saucedemo.com","login exitoso","SUCCESS","2023-03-24T11:42:37.3160836-05:00[America/Bogota]","0.0","3.61"
